row_id,row_type,layer_order,title,description,question_keys,option_ids,pain_ids,outcome_ids,capability_ids,pibr_track,content_tags,enabled
outcome_cyberWorkforce,outcome,2,Build and retain a cyber-ready workforce,"Improve role readiness and progression visibility across technical and non-technical teams.",,,pain_workforce_readiness,cyberWorkforce,workforce-exercising|hands-on-labs|programs,Improve,workforce|skills,true
outcome_supplyChain,outcome,2,Strengthen supply-chain resilience,"Improve preparedness for vendor-origin incidents and third-party disruption scenarios.",,,pain_third_party,supplyChain,cyber-drills|programs|benchmark-reporting,Prove,supply-chain|third-party,true
cap_integrated_readiness,capability,3,Integrated readiness automations,"Embed readiness into collaboration, development, LMS, and API workflows to operationalize resilience.",,msteams|github|restapi|workday|successfactors|cornerstone,,cyberWorkforce|complianceEvidence|secureEnterprise,integrated-readiness,Cross-PIBR,integrations|automation,true
cap_cyber_drills,capability,3,Cyber Drills,"Run cross-functional attack simulations to measure response speed, coordination, and outcomes.",,socir|board|regulator|investor,,fasterResponse|complianceEvidence,cyber-drills,Prove,drills|simulation,true
cap_crisis_sim,capability,3,Cyber Crisis Simulation,"Exercise executives and crisis stakeholders with measurable decision analytics under pressure.",,executive|legal|communications|crisis,,fasterResponse|complianceEvidence,crisis-sim,Prove,crisis|executive,true
cap_dynamic_threat_range,capability,3,Dynamic Threat Range,"Validate SOC capability in live-fire enterprise simulations aligned to real tool stacks.",,splunk|elastic|sentinel|crowdstrike|soc,,fasterResponse|secureEnterprise,dynamic-threat-range,Prove,soc|siem|threat-hunting,true
cap_hands_on_labs,capability,3,Hands-On Labs,"Close role-specific skill gaps with realistic labs across AppSec, cloud, identity, OT, and AI.",,appsec|cloud|identity|ot|ai,,secureEnterprise|secureAI|cyberWorkforce,hands-on-labs,Improve,labs|upskilling,true
cap_appsec_range,capability,3,AppSec Range Exercises,"Strengthen secure development behavior through collaborative remediation workflows.",,github|branch protection|sdlc|devsecops,,secureEnterprise,appsec-range-exercises,Improve,appsec|sdlc,true
cap_workforce_exercising,capability,3,Workforce Exercising,"Drive measurable behavior change across non-technical and mixed teams.",,workforce|lms|workday|successfactors|cornerstone,,cyberWorkforce|complianceEvidence,workforce-exercising,Improve,workforce|behavior,true
cap_benchmark_reporting,capability,3,Resilience Score and reporting,"Convert exercise and lab outcomes into board-ready benchmark views and audit-facing evidence.",,audit|evidence|benchmark|board|regulator,,complianceEvidence|fasterResponse,benchmark-reporting,"Benchmark & Report",reporting|benchmark,true
cap_programs,capability,3,Programs orchestration,"Operationalize readiness as a continuous system with managed journeys and intervention controls.",,programmatic|cadence|journey|cohort,,cyberWorkforce|fasterResponse|complianceEvidence,programs,Cross-PIBR,programs|operations,true
cap_secure_ai,capability,3,Secure AI readiness,"Build safe AI adoption with scenario-driven controls testing and practical guardrails.",,ai|llm|prompt injection|model|genai,,secureAI|secureEnterprise,secure-ai-readiness,Improve,secure-ai|controls,true
platform_immersive_one,platform,4,Immersive One,"A unified cyber readiness platform that operationalizes prove, improve, benchmark, and report across your organization.",,,,fasterResponse|secureEnterprise|secureAI|complianceEvidence|cyberWorkforce|supplyChain,integrated-readiness|cyber-drills|crisis-sim|dynamic-threat-range|hands-on-labs|appsec-range-exercises|workforce-exercising|benchmark-reporting|programs|secure-ai-readiness,Cross-PIBR,immersive-one|platform,true
brand_be_ready,brand,5,Immersive: Be Ready,"Be Ready is the brand promise: turn cyber readiness into measurable, defensible confidence.",,,,,,,be-ready|brand,true
