id,title,slug,format,category,topicTags,contributors,url,canonicalUrl,externalUrl,publishedOn,publishedTs,ageDays,freshnessBucket,imageUrl,thumbnailUrl,headerImageUrl,summary,sourceCsv,sourceCollectionId
blog-post:maximizing-crowdstrike-roi-is-seamless-with-immersive-ones-new-capability,Maximizing CrowdStrike ROI Is Seamless with Immersive One’s New Capability,maximizing-crowdstrike-roi-is-seamless-with-immersive-ones-new-capability,blog-post,cyber-resilience,cyber-resilience-strategy,aniket-menon,https://www.immersivelabs.com/resources/c7-blog/maximizing-crowdstrike-roi-is-seamless-with-immersive-ones-new-capability/,https://www.immersivelabs.com/resources/c7-blog/maximizing-crowdstrike-roi-is-seamless-with-immersive-ones-new-capability/,,2026-01-27T00:00:00.000Z,1769472000000,26,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69789a8a3f37af32ddc931fe_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69789a8a3f37af32ddc931fe_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69789a8dedfc30dfad573b6e_Header%20Image.png,"Learn how Immersive One’s new CrowdStrike Falcon® simulations help SOC teams close the readiness gap, reduce MTTR, and prove cyber resilience.",Immersive - Blog Posts - 679e309747ababc3401407fa.csv,679e309747ababc3401407fa
blog-post:the-cyber-readiness-outlook-2025-threat-reflections-and-2026-forecast,The Cyber Readiness Outlook: 2025 Threat Reflections and 2026 Forecast,the-cyber-readiness-outlook-2025-threat-reflections-and-2026-forecast,blog-post,cyber-resilience,cyber-resilience-strategy,jamie-knobles,https://www.immersivelabs.com/resources/c7-blog/the-cyber-readiness-outlook-2025-threat-reflections-and-2026-forecast/,https://www.immersivelabs.com/resources/c7-blog/the-cyber-readiness-outlook-2025-threat-reflections-and-2026-forecast/,,2026-01-27T00:00:00.000Z,1769472000000,26,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69787d5efd6928758a4b7122_Immersive%20-%20Blog%20Post%20-%202026%20Forecast%20Webinar%20Recap%20-%20Thumbnail%20560x315.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69787d5efd6928758a4b7122_Immersive%20-%20Blog%20Post%20-%202026%20Forecast%20Webinar%20Recap%20-%20Thumbnail%20560x315.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69787d5b0b5e5c18a0dd536d_Immersive%20-%20Blog%20Post%20-%202026%20Forecast%20Webinar%20Recap%20-%20Header%201920x1080.png,"Bridge the gap between perceived readiness and actual capability. Discover the 2026 cyber threat forecast, from quantum risks to AI prompt injection labs.",Immersive - Blog Posts - 679e309747ababc3401407fa.csv,679e309747ababc3401407fa
c7-blog:the-2026-threat-forecast,The 2026 Threat Forecast,the-2026-threat-forecast,c7-blog,threat-intelligence,improving-cyber-resilience,c7-content-team,https://www.immersivelabs.com/resources/c7-blog/the-2026-threat-forecast/,https://www.immersivelabs.com/resources/c7-blog/the-2026-threat-forecast/,,2026-01-26T00:00:00.000Z,1769385600000,27,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6977a28c36cd183803336967_blog%20thumbnail.avif,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6977a28c36cd183803336967_blog%20thumbnail.avif,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6977a28639a3a2a2d87d608a_blog%20header.avif,"An outlook into 2026 where we focus on the cyber threats of 2026, and how to be prepared.",Immersive - C7 Blogs - 6911bd569ce807ce6a2b9b4c.csv,6911bd569ce807ce6a2b9b4c
blog-post:from-check-box-training-to-continuous-readiness-how-one-immersive-customer-is-preparing-for-2026,From Check-box Training To Continuous Readiness: How One Immersive Customer is Preparing for 2026,from-check-box-training-to-continuous-readiness-how-one-immersive-customer-is-preparing-for-2026,blog-post,cyber-resilience,cyber-resilience-strategy,lucy-ash,https://www.immersivelabs.com/resources/c7-blog/from-check-box-training-to-continuous-readiness-how-one-immersive-customer-is-preparing-for-2026/,https://www.immersivelabs.com/resources/c7-blog/from-check-box-training-to-continuous-readiness-how-one-immersive-customer-is-preparing-for-2026/,,2026-01-22T00:00:00.000Z,1769040000000,31,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/697240c0c1df7adad42b360a_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/697240c0c1df7adad42b360a_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/697240ba97401e17e76ab0cd_Header.png,"Learn how Swisscom is preparing for 2026 by moving beyond passive training to continuous, measurable readiness.",Immersive - Blog Posts - 679e309747ababc3401407fa.csv,679e309747ababc3401407fa
c7-blog:how-dynamic-threat-range-equips-you-to-scale-soc-readiness-security-stack-roi-2,How Dynamic Threat Range Equips You to Scale SOC Readiness & Security Stack ROI,how-dynamic-threat-range-equips-you-to-scale-soc-readiness-security-stack-roi-2,c7-blog,platform-release,,dave-spencer,https://www.immersivelabs.com/resources/c7-blog/how-dynamic-threat-range-equips-you-to-scale-soc-readiness-security-stack-roi-2/,https://www.immersivelabs.com/resources/c7-blog/how-dynamic-threat-range-equips-you-to-scale-soc-readiness-security-stack-roi-2/,,2026-01-22T00:00:00.000Z,1769040000000,31,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69724f5cbdeb0dd23ce2ef24_Blog%20Post%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69724f5cbdeb0dd23ce2ef24_Blog%20Post%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69724f5f954bd062b7a25aaf_Blog%20Post%20-%20Header%20Image.png,Scale SOC Readiness & Security ROI with Dynamic Threat Range,678a13476d0a697e355dec29-691c8c70de6fc418c5b5260a-2026-02-21T07-29-44-892Z.csv,691c8c70de6fc418c5b5260a
webinar:the-cyber-readiness-outlook-2025-threat-reflection-and-2026-forecast,The Cyber Readiness Outlook: 2025 Threat Reflection and 2026 Forecast,the-cyber-readiness-outlook-2025-threat-reflection-and-2026-forecast,webinar,,,,https://info.immersivelabs.com/webinar-the-cyber-readiness-outlook-2025-threat-reflection-and-2026-forecast?trk=immersive-labs-website-webinar&utm_source=immersive-labs&utm_medium=website&utm_campaign=FY26-Q1-cyber-readiness-outlook&utm_content=webinar,https://www.immersivelabs.com/resources/webinars/the-cyber-readiness-outlook-2025-threat-reflection-and-2026-forecast/,https://info.immersivelabs.com/webinar-the-cyber-readiness-outlook-2025-threat-reflection-and-2026-forecast?trk=immersive-labs-website-webinar&utm_source=immersive-labs&utm_medium=website&utm_campaign=FY26-Q1-cyber-readiness-outlook&utm_content=webinar,2026-01-22T00:00:00.000Z,1769040000000,31,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6943bcda2d8aa0f36de36fae_Landing%20Page%20-%20Thumbnail.webp,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6943bcda2d8aa0f36de36fae_Landing%20Page%20-%20Thumbnail.webp,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6943bcd7cb49c2c88d3093d7_Landing%20Page%20-%201920x1080.webp,2025 Threat Reflection and 2026 Forecast,Immersive - Webinars - 679f9c1ff10020ae69399e53.csv,679f9c1ff10020ae69399e53
blog-post:commanding-the-ai-accelerated-threat-landscape-introducing-secure-with-ai-on-immersive-one,Commanding the AI-Accelerated Threat Landscape: Introducing Secure With AI on Immersive One,commanding-the-ai-accelerated-threat-landscape-introducing-secure-with-ai-on-immersive-one,blog-post,cyber-resilience,cyber-resilience-strategy,aniket-menon,https://www.immersivelabs.com/resources/c7-blog/commanding-the-ai-accelerated-threat-landscape-introducing-secure-with-ai-on-immersive-one/,https://www.immersivelabs.com/resources/c7-blog/commanding-the-ai-accelerated-threat-landscape-introducing-secure-with-ai-on-immersive-one/,,2026-01-21T00:00:00.000Z,1768953600000,32,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6970fe16bac63d4193995ec1_Secure%20with%20AI%20-%20Main%20blog%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6970fe16bac63d4193995ec1_Secure%20with%20AI%20-%20Main%20blog%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6970fe13c23e8d466d79e7ea_Secure%20with%20AI%20-%20Main%20blog%20-%20Header%20Image.png,Eliminate readiness lag-time with Secure With AI on Immersive One. Use AI-powered labs and high-fidelity crisis simulations to prove performance against real-world threats.,Immersive - Blog Posts - 679e309747ababc3401407fa.csv,679e309747ababc3401407fa
c7-blog:meet-secure-with-ai-on-immersive-one--gain-control-and-efficiency-at-speed-against-ai-accelerated-threats,Meet Secure With AI on Immersive One—Gain Control and Efficiency at Speed Against AI-Accelerated Threats,meet-secure-with-ai-on-immersive-one--gain-control-and-efficiency-at-speed-against-ai-accelerated-threats,c7-blog,platform-release,,matt-parven,https://www.immersivelabs.com/resources/c7-blog/meet-secure-with-ai-on-immersive-one--gain-control-and-efficiency-at-speed-against-ai-accelerated-threats/,https://www.immersivelabs.com/resources/c7-blog/meet-secure-with-ai-on-immersive-one--gain-control-and-efficiency-at-speed-against-ai-accelerated-threats/,,2026-01-21T00:00:00.000Z,1768953600000,32,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6970ff438ba5ac91290f4410_Secure%20with%20AI%20-%20Whats%20New%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6970ff438ba5ac91290f4410_Secure%20with%20AI%20-%20Whats%20New%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6970ff47328404470ad8e7ca_Secure%20with%20AI%20-%20Whats%20New%20-%20Header%20Image.png,"Introducing Secure With AI, a new Immersive One solution that equips security managers with the AI-powered tools required to eliminate the readiness lag and command the AI-accelerated threat landscape.",678a13476d0a697e355dec29-691c8c70de6fc418c5b5260a-2026-02-21T07-29-44-892Z.csv,691c8c70de6fc418c5b5260a
c7-blog:patch-tuesday-january-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild,Patch Tuesday January 2026 - Critical Microsoft Security Patches Released Including Vulnerabilities Being Actively Exploited in the Wild,patch-tuesday-january-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild,c7-blog,research,cyber-resilience,kevin-breen,https://www.immersivelabs.com/resources/c7-blog/patch-tuesday-january-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild/,https://www.immersivelabs.com/resources/c7-blog/patch-tuesday-january-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild/,,2026-01-13T00:00:00.000Z,1768262400000,40,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69669b423f87904e03d6129d_PatchNewsday_Image3_Thumbnail.avif,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69669b423f87904e03d6129d_PatchNewsday_Image3_Thumbnail.avif,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69669b3e5650ecc8dedc9c69_PatchNewsday_Image3_Header.png,Critical Microsoft Security Patches Released Including Vulnerabilities Being Actively Exploited in the Wild,Immersive - C7 Blogs - 6911bd569ce807ce6a2b9b4c.csv,6911bd569ce807ce6a2b9b4c
blog-post:2026-cyber-readiness-preparing-for-ai-attacks-and-the-quantum-threat,2026 Cyber Readiness: Preparing for AI Attacks and the Quantum Threat,2026-cyber-readiness-preparing-for-ai-attacks-and-the-quantum-threat,blog-post,cyber-resilience,cyber-resilience-strategy,jamie-knobles,https://www.immersivelabs.com/resources/c7-blog/2026-cyber-readiness-preparing-for-ai-attacks-and-the-quantum-threat/,https://www.immersivelabs.com/resources/c7-blog/2026-cyber-readiness-preparing-for-ai-attacks-and-the-quantum-threat/,,2026-01-08T00:00:00.000Z,1767830400000,45,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/695fdb62e8b255d816271ac8_thumnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/695fdb62e8b255d816271ac8_thumnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/695fdb5f4841512874ac579c_Landing%20Page%20-%201920x1080%20Header.png,"Are you ready for AI attacks and the Quantum threat? Move beyond the ""confidence trap"" and discover strategies to prove your 2026 cyber readiness.",Immersive - Blog Posts - 679e309747ababc3401407fa.csv,679e309747ababc3401407fa
c7-blog:atera-under-the-spotlight-exploring-more-effective-detections,Atera Under the Spotlight: Exploring More Effective Detections,atera-under-the-spotlight-exploring-more-effective-detections,c7-blog,research,improving-cyber-resilience|defensive-security-2,ben-hopkins|ben-mccarthy,https://www.immersivelabs.com/resources/c7-blog/atera-under-the-spotlight-exploring-more-effective-detections/,https://www.immersivelabs.com/resources/c7-blog/atera-under-the-spotlight-exploring-more-effective-detections/,,2025-12-31T00:00:00.000Z,1767139200000,53,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/695cdbe5566cfc4b26bae34b_694a8a8198f73b3f6580de3d_Thumbnail.webp,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/695cdbe5566cfc4b26bae34b_694a8a8198f73b3f6580de3d_Thumbnail.webp,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/695cdbe950d86b013b755de2_694a8a7c78e48c6319fc5690_Header.webp,"Learn how threat actors compromise Atera RMM tools and discover detection methods, defensive strategies, and best practices to secure your IT environment.",Immersive - C7 Blogs - 6911bd569ce807ce6a2b9b4c.csv,6911bd569ce807ce6a2b9b4c
c7-blog:enforcing-least-privilege-for-content-management-new-granular-permissions-available-on-immersive-one,Enforcing Least Privilege for Content Management: New Granular Permissions Available on Immersive One,enforcing-least-privilege-for-content-management-new-granular-permissions-available-on-immersive-one,c7-blog,platform-release,,luke-williams,https://www.immersivelabs.com/resources/c7-blog/enforcing-least-privilege-for-content-management-new-granular-permissions-available-on-immersive-one/,https://www.immersivelabs.com/resources/c7-blog/enforcing-least-privilege-for-content-management-new-granular-permissions-available-on-immersive-one/,,2025-12-19T00:00:00.000Z,1766102400000,65,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69454c4d8c540a5beb643bdb_Platform%20%E2%80%94%20Header%20Image%20%E2%80%94%20560x315%C2%A0.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69454c4d8c540a5beb643bdb_Platform%20%E2%80%94%20Header%20Image%20%E2%80%94%20560x315%C2%A0.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69454c499960847d6f6084a9_Platform%20%E2%80%94%20Header%20Image%20%E2%80%94%201920x1080%C2%A0.png,Stop over-provisioning access. Discover how Immersive One’s latest update allows you to enforce the Principle of Least Privilege for more secure content management.,678a13476d0a697e355dec29-691c8c70de6fc418c5b5260a-2026-02-21T07-29-44-892Z.csv,691c8c70de6fc418c5b5260a
